PdfType: replica
Format: lhagrid1
---
1.0000000e-09 1.2805087e-09 1.6397027e-09 2.0996536e-09 2.6886248e-09 3.4428076e-09 4.4085452e-09 5.6451808e-09 7.2287034e-09 9.2564179e-09 1.1852924e-08 1.5177773e-08 1.9435271e-08 2.4887035e-08 3.1868066e-08 4.0807337e-08 5.2254152e-08 6.6911899e-08 8.5681272e-08 1.0971562e-07 1.4049181e-07 1.7990099e-07 2.3036479e-07 2.9498413e-07 3.7772976e-07 4.8368627e-07 6.1936450e-07 7.9310166e-07 1.0155736e-06 1.3004509e-06 1.6652388e-06 2.1323528e-06 2.7304964e-06 3.4964246e-06 4.4772022e-06 5.7330966e-06 7.3412804e-06 9.4005738e-06 1.2037517e-05 1.5414146e-05 1.9737949e-05 2.5274616e-05 3.2364367e-05 4.1442855e-05 5.3067938e-05 6.7953959e-05 8.7015639e-05 1.1142429e-04 1.4267978e-04 1.8270270e-04 2.3395241e-04 2.9957810e-04 3.8361238e-04 4.9121901e-04 6.2901024e-04 8.0545312e-04 1.0313898e-03 1.3207036e-03 1.6911725e-03 2.1655612e-03 2.7730201e-03 3.5508765e-03 4.5469285e-03 5.8223817e-03 7.4556107e-03 9.5469747e-03 1.2224985e-02 1.5654200e-02 2.0045340e-02 2.5668233e-02 3.2868397e-02 4.2088270e-02 5.3894398e-02 6.9012248e-02 8.8370787e-02 1.0000000e-01 1.1216216e-01 1.2432432e-01 1.3648649e-01 1.4864865e-01 1.6081081e-01 1.7297297e-01 1.8513514e-01 1.9729730e-01 2.0945946e-01 2.2162162e-01 2.3378378e-01 2.4594595e-01 2.5810811e-01 2.7027027e-01 2.8243243e-01 2.9459459e-01 3.0675676e-01 3.1891892e-01 3.3108108e-01 3.4324324e-01 3.5540541e-01 3.6756757e-01 3.7972973e-01 3.9189189e-01 4.0405405e-01 4.1621622e-01 4.2837838e-01 4.4054054e-01 4.5270270e-01 4.6486486e-01 4.7702703e-01 4.8918919e-01 5.0135135e-01 5.1351351e-01 5.2567568e-01 5.3783784e-01 5.5000000e-01 5.6216216e-01 5.7432432e-01 5.8648649e-01 5.9864865e-01 6.1081081e-01 6.2297297e-01 6.3513514e-01 6.4729730e-01 6.5945946e-01 6.7162162e-01 6.8378378e-01 6.9594595e-01 7.0810811e-01 7.2027027e-01 7.3243243e-01 7.4459459e-01 7.5675676e-01 7.6891892e-01 7.8108108e-01 7.9324324e-01 8.0540541e-01 8.1756757e-01 8.2972973e-01 8.4189189e-01 8.5405405e-01 8.6621622e-01 8.7837838e-01 8.9054054e-01 9.0270270e-01 9.1486486e-01 9.2702703e-01 9.3918919e-01 9.5135135e-01 9.6351351e-01 9.7567568e-01 9.8783784e-01 1.0000000e+00 
1.6500000e+00 1.7874388e+00 1.9429053e+00 2.1193749e+00 2.3204100e+00 2.5502945e+00 2.8142025e+00 3.1184123e+00 3.4705775e+00 3.8800752e+00 4.3584516e+00 4.9200000e+00 
-5 -4 -3 -2 -1 21 1 2 3 4 5 
 -3.8805109e-12  1.2715076e-07  5.4209185e+00  5.4209871e+00  5.4209971e+00 -1.2163912e+02  5.4207854e+00  5.4207959e+00  5.4205265e+00  1.2716239e-07  3.8805109e-12 
  1.9073487e-07 -9.4835043e-02  5.2956700e+00  5.2957377e+00  5.2957478e+00 -1.3057686e+02  5.2955322e+00  5.2955422e+00  5.2952695e+00 -9.4835646e-02  1.9073487e-07 
  1.9073487e-07 -1.2629445e-01  5.2343326e+00  5.2344003e+00  5.2344117e+00 -1.3980707e+02  5.2341919e+00  5.2342029e+00  5.2339239e+00 -1.2629560e-01  1.9073487e-07 
 -3.1789146e-08 -8.9537181e-02  5.2417226e+00  5.2417898e+00  5.2418008e+00 -1.4903612e+02  5.2415752e+00  5.2415862e+00  5.2413034e+00 -8.9538887e-02 -3.1789146e-08 
 -1.9073487e-07  2.1205146e-02  5.3235784e+00  5.3236451e+00  5.3236561e+00 -1.5791475e+02  5.3234296e+00  5.3234406e+00  5.3231530e+00  2.1202972e-02 -1.9073487e-07 
 -1.2715658e-07  2.1289328e-01  5.4868388e+00  5.4869056e+00  5.4869161e+00 -1.6603143e+02  5.4866843e+00  5.4866958e+00  5.4864044e+00  2.1289064e-01 -1.2715658e-07 
 -6.3578291e-08  4.9377701e-01  5.7397289e+00  5.7397943e+00  5.7398057e+00 -1.7290932e+02  5.7395706e+00  5.7395816e+00  5.7392855e+00  4.9377397e-01 -6.3578291e-08 
 -1.9073487e-07  8.7317681e-01  6.0915465e+00  6.0916119e+00  6.0916228e+00 -1.7799754e+02  6.0913820e+00  6.0913949e+00  6.0910940e+00  8.7317342e-01 -1.9073487e-07 
 -1.2716434e-07  1.3633137e+00  6.5544901e+00  6.5545545e+00  6.5545669e+00 -1.8067104e+02  6.5543227e+00  6.5543346e+00  6.5540295e+00  1.3633103e+00 -1.2714881e-07 
 -1.9073487e-07  1.9755083e+00  7.1398611e+00  7.1399255e+00  7.1399379e+00 -1.8021053e+02  7.1396909e+00  7.1397028e+00  7.1393933e+00  1.9755043e+00 -1.9073487e-07 
 -3.8146973e-07  2.7274272e+00  7.8653092e+00  7.8653731e+00  7.8653855e+00 -1.7583441e+02  7.8651352e+00  7.8651476e+00  7.8648329e+00  2.7274232e+00 -3.8146973e-07 
 -6.3586050e-08  3.6323268e+00  8.7440729e+00  8.7441359e+00  8.7441463e+00 -1.6659198e+02  8.7438927e+00  8.7439060e+00  8.7435865e+00  3.6323216e+00 -6.3570525e-08 
 -3.1788172e-08 -2.2251722e-07  5.1636357e+00  5.1637053e+00  5.1637168e+00 -1.1309856e+02  5.1634855e+00  5.1634970e+00  5.1632032e+00 -2.2253080e-07 -3.1790115e-08 
